well,formation,md
AUPAMPARI-01,Rolling Downs Group - Manuka Subgroup - Winton Formation,31.1
AUPAMPARI-01,Rolling Downs Group - Manuka Subgroup - Winton Formation,-478.2
AUPAMPARI-01,Rolling Downs Group - Manuka Subgroup - Mackunda Formation,-68
AUPAMPARI-01,Rolling Downs Group - Marree Subgroup - Oodnadatta Formation,-271.3
AUPAMPARI-01,Rolling Downs Group - Marree Subgroup - Coorikiana Sandstone Formation,-20.7
AUPAMPARI-01,Bulldog Formation,-217.9
AUPAMPARI-01,Cadna-Owie Formation,-56.1
AUPAMPARI-01,Murta Formation,-43.6
AUPAMPARI-01,Murta Formation - McKinlay Member,-17.4
AUPAMPARI-01,Namur Sandstone Formation,-215.5
AUPAMPARI-01,Injune Creek Group - Birkhead Formation,-8.2
AUPAMPARI-01,Bundamba Group - Hutton Sandstone Formation,-70.4
AUPAMPARI-01,Dullingari Group - Lycosa Formation,-28.4
AUMYPONGA-01,Missing,-546
AUMYPONGA-01,Rolling Downs Group - Manuka Subgroup - Mackunda Formation,-84
AUMYPONGA-01,Rolling Downs Group - Marree Subgroup - Oodnadatta Formation,-194.5
AUMYPONGA-01,Rolling Downs Group - Marree Subgroup - Coorikiana Sandstone Formation,-10.5
AUMYPONGA-01,Bulldog Formation,-210
AUMYPONGA-01,Cadna-Owie Formation,-55
AUMYPONGA-01,Murta Formation,-44
AUMYPONGA-01,Murta Formation - McKinlay Member,-15
AUMYPONGA-01,Namur Sandstone Formation,-195.5
AUMYPONGA-01,Injune Creek Group - Birkhead Formation,-14.5
AUMYPONGA-01,Bundamba Group - Hutton Sandstone Formation,-57
AUMYPONGA-01,Basement,-14
AUZOGG-01,Missing,-1103.9
AUZOGG-01,Cadna-Owie Formation,-53.1
AUZOGG-01,Murta Formation,-43.2
AUZOGG-01,Murta Formation - McKinlay Member,-5.5
AUZOGG-01,Namur Sandstone Formation,-213.9
AUZOGG-01,Injune Creek Group - Birkhead Formation,-21.3
AUZOGG-01,Bundamba Group - Hutton Sandstone Formation,-57.6
AUOGG-01,Rolling Downs Group - Manuka Subgroup - Winton Formation,30.1
AUOGG-01,Rolling Downs Group - Manuka Subgroup - Winton Formation,-886.2
AUOGG-01,Rolling Downs Group - Marree Subgroup - Coorikiana Sandstone Formation,-6.7
AUOGG-01,Bulldog Formation,-217.6
AUOGG-01,Cadna-Owie Formation,-58
AUOGG-01,Murta Formation,-46
AUOGG-01,Murta Formation - McKinlay Member,-10.3
AUOGG-01,Namur Sandstone Formation,-185.7
AUOGG-01,Injune Creek Group - Birkhead Formation,-26.5
AUOGG-01,Bundamba Group - Hutton Sandstone Formation,-60
AUOGG-01,Poolowanna Formation,-59.4
AUOGG-01,Gidgealpa Group - Patchawarra Formation,-137.4